index,IN,lat,lon
423,15454.0,40.681598,-73.880074
424,20996.0,40.683209,-73.873765
425,24510.0,40.678815,-73.920801
426,24262.0,40.67836,-73.911939
427,12582.0,40.674552,-73.896554
428,14045.0,40.672786,-73.890438
429,15130.0,40.674161,-73.880761
430,30325.0,40.839301,-73.913355
431,15754.0,40.898382,-73.854389
432,33388.0,40.810512,-73.926165
433,27161.0,40.808044,-73.919234
434,17113.0,40.805737,-73.914471
435,5499.0,40.808742,-73.90769
436,20607.0,40.812104,-73.904085
437,14625.0,40.816083,-73.89606
438,31317.0,40.656648,-73.950198
439,157292.0,40.778575,-73.981912
440,46491.0,40.742981,-73.992727
441,4442.0,40.665405,-73.992877
442,3691.0,40.66043,-73.997944
443,19708.0,40.690545,-73.985065
444,58583.0,40.708377,-73.957751
445,98768.0,40.725297,-73.996204
446,54830.0,40.718697,-74.000977
447,81820.0,40.718697,-74.000977
448,7390.0,40.668221,-73.834026
449,16917.0,40.761268,-73.964016
450,20010.0,40.7574,-73.954006
451,9389.0,40.660476,-73.830301
452,32247.0,40.643942,-73.782356
453,158702.0,40.711638,-74.010708
454,121807.0,40.748931,-73.988113
455,36182.0,40.742933,-73.992909
456,68646.0,40.716737,-74.033024
457,33073.0,40.738879,-74.155533
458,37453.0,40.737434,-73.996785
464,80893.0,40.719876,-74.042616
465,91786.0,40.732102,-74.063915
